#Step	17-96	298-385
0	0.4560	0.4740
10	0.4621	0.4644
20	0.4681	0.4554
30	0.4736	0.4472
40	0.4784	0.4402
50	0.4822	0.4348
60	0.4849	0.4312
70	0.4863	0.4296
80	0.4863	0.4301
90	0.4851	0.4325
100	0.4826	0.4367
110	0.4792	0.4423
120	0.4750	0.4491
130	0.4703	0.4568
140	0.4655	0.4652
150	0.4608	0.4741
160	0.4564	0.4829
170	0.4527	0.4915
180	0.4496	0.4994
190	0.4475	0.5063
200	0.4463	0.5122
210	0.4459	0.5169
220	0.4465	0.5203
230	0.4477	0.5226
240	0.4495	0.5239
250	0.4517	0.5243
260	0.4540	0.5243
270	0.4565	0.5238
280	0.4587	0.5231
290	0.4606	0.5224
300	0.4621	0.5216
310	0.4629	0.5207
320	0.4632	0.5197
330	0.4628	0.5186
340	0.4618	0.5171
350	0.4603	0.5153
360	0.4584	0.5131
370	0.4561	0.5104
380	0.4537	0.5072
390	0.4514	0.5033
400	0.4493	0.4988
410	0.4475	0.4936
420	0.4463	0.4878
430	0.4456	0.4813
440	0.4454	0.4741
450	0.4459	0.4663
460	0.4470	0.4581
470	0.4486	0.4498
480	0.4506	0.4415
490	0.4530	0.4336
500	0.4557	0.4264
510	0.4586	0.4203
520	0.4615	0.4157
530	0.4643	0.4129
540	0.4667	0.4121
550	0.4685	0.4135
560	0.4697	0.4171
570	0.4701	0.4230
580	0.4698	0.4310
590	0.4688	0.4409
600	0.4672	0.4524
610	0.4650	0.4648
620	0.4622	0.4778
630	0.4589	0.4908
640	0.4553	0.5034
650	0.4515	0.5149
660	0.4477	0.5247
670	0.4441	0.5324
680	0.4409	0.5377
690	0.4382	0.5402
700	0.4363	0.5399
710	0.4352	0.5369
720	0.4350	0.5315
730	0.4357	0.5238
740	0.4372	0.5142
750	0.4396	0.5032
760	0.4427	0.4912
770	0.4464	0.4788
780	0.4507	0.4664
790	0.4552	0.4546
800	0.4599	0.4438
810	0.4645	0.4344
820	0.4687	0.4268
830	0.4723	0.4213
840	0.4753	0.4180
850	0.4776	0.4170
860	0.4792	0.4181
870	0.4801	0.4211
880	0.4804	0.4257
890	0.4799	0.4316
900	0.4790	0.4383
910	0.4775	0.4456
920	0.4757	0.4530
930	0.4737	0.4602
940	0.4715	0.4668
950	0.4693	0.4727
960	0.4672	0.4777
970	0.4653	0.4815
980	0.4637	0.4842
990	0.4625	0.4856
1000	0.4617	0.4858
