#Step	17-96	298-385
0	0.4560	0.4740
10	0.4674	0.5173
20	0.4752	0.5312
30	0.4768	0.5130
40	0.4748	0.4880
50	0.4745	0.4841
60	0.4789	0.5039
70	0.4849	0.5198
80	0.4851	0.5089
90	0.4741	0.4800
100	0.4538	0.4545
110	0.4331	0.4472
120	0.4210	0.4595
130	0.4217	0.4771
140	0.4333	0.4817
150	0.4502	0.4709
160	0.4662	0.4575
170	0.4779	0.4533
180	0.4844	0.4556
190	0.4859	0.4485
200	0.4829	0.4220
210	0.4766	0.3859
220	0.4698	0.3614
230	0.4670	0.3579
240	0.4733	0.3656
250	0.4912	0.3709
260	0.5139	0.3690
270	0.5281	0.3662
280	0.5243	0.3722
290	0.5054	0.3842
300	0.4801	0.3891
310	0.4538	0.3820
320	0.4289	0.3680
330	0.4105	0.3552
340	0.4044	0.3512
350	0.4102	0.3576
360	0.4222	0.3658
370	0.4374	0.3630
380	0.4579	0.3461
390	0.4834	0.3245
400	0.5044	0.3111
410	0.5098	0.3149
420	0.4981	0.3327
430	0.4760	0.3505
440	0.4506	0.3586
450	0.4251	0.3584
460	0.4018	0.3572
470	0.3866	0.3613
480	0.3838	0.3708
490	0.3952	0.3839
500	0.4150	0.3984
510	0.4292	0.4141
520	0.4233	0.4322
530	0.3981	0.4503
540	0.3720	0.4625
550	0.3642	0.4669
560	0.3789	0.4681
570	0.4015	0.4723
580	0.4111	0.4809
590	0.4036	0.4917
600	0.3964	0.5010
610	0.4073	0.5041
620	0.4342	0.4970
630	0.4615	0.4800
640	0.4795	0.4589
650	0.4893	0.4378
660	0.4924	0.4153
670	0.4863	0.3940
680	0.4677	0.3752
690	0.4455	0.3557
700	0.4415	0.3333
710	0.4679	0.3070
720	0.5125	0.2810
730	0.5486	0.2604
740	0.5572	0.2434
750	0.5420	0.2285
760	0.5255	0.2215
770	0.5249	0.2290
780	0.5339	0.2484
790	0.5322	0.2675
800	0.5075	0.2776
810	0.4660	0.2824
820	0.4218	0.2889
830	0.3842	0.3043
840	0.3590	0.3280
850	0.3501	0.3489
860	0.3581	0.3574
870	0.3680	0.3543
880	0.3594	0.3500
890	0.3374	0.3531
900	0.3184	0.3631
910	0.3101	0.3730
920	0.3120	0.3798
930	0.3131	0.3886
940	0.3065	0.4073
950	0.2998	0.4384
960	0.3027	0.4731
970	0.3174	0.4958
980	0.3411	0.4998
990	0.3601	0.4923
1000	0.3612	0.4847
