#Step	17-96	298-385
0	0.4560	0.4740
10	0.4617	0.4654
20	0.4653	0.4625
30	0.4666	0.4668
40	0.4678	0.4751
50	0.4713	0.4828
60	0.4767	0.4882
70	0.4816	0.4924
80	0.4829	0.4969
90	0.4803	0.5013
100	0.4761	0.5037
110	0.4730	0.5029
120	0.4723	0.4987
130	0.4725	0.4924
140	0.4717	0.4849
150	0.4690	0.4774
160	0.4651	0.4718
170	0.4620	0.4710
180	0.4604	0.4761
190	0.4603	0.4850
200	0.4607	0.4937
210	0.4611	0.4983
220	0.4611	0.4978
230	0.4604	0.4944
240	0.4592	0.4911
250	0.4575	0.4893
260	0.4562	0.4883
270	0.4561	0.4871
280	0.4568	0.4865
290	0.4573	0.4882
300	0.4566	0.4927
310	0.4552	0.4983
320	0.4545	0.5029
330	0.4556	0.5050
340	0.4581	0.5044
350	0.4603	0.5019
360	0.4607	0.4983
370	0.4597	0.4947
380	0.4585	0.4927
390	0.4580	0.4923
400	0.4576	0.4925
410	0.4563	0.4921
420	0.4539	0.4916
430	0.4517	0.4925
440	0.4512	0.4955
450	0.4525	0.4981
460	0.4544	0.4962
470	0.4552	0.4877
480	0.4543	0.4746
490	0.4524	0.4623
500	0.4507	0.4560
510	0.4494	0.4566
520	0.4479	0.4604
530	0.4453	0.4632
540	0.4426	0.4638
550	0.4416	0.4648
560	0.4435	0.4686
570	0.4479	0.4749
580	0.4527	0.4805
590	0.4557	0.4820
600	0.4561	0.4790
610	0.4553	0.4735
620	0.4554	0.4684
630	0.4574	0.4660
640	0.4604	0.4670
650	0.4623	0.4714
660	0.4625	0.4785
670	0.4617	0.4868
680	0.4616	0.4938
690	0.4629	0.4971
700	0.4648	0.4956
710	0.4660	0.4911
720	0.4661	0.4872
730	0.4660	0.4847
740	0.4663	0.4808
750	0.4668	0.4728
760	0.4659	0.4618
770	0.4629	0.4528
780	0.4586	0.4504
790	0.4549	0.4542
800	0.4529	0.4596
810	0.4519	0.4618
820	0.4506	0.4591
830	0.4490	0.4538
840	0.4489	0.4493
850	0.4520	0.4474
860	0.4576	0.4482
870	0.4623	0.4517
880	0.4635	0.4578
890	0.4622	0.4657
900	0.4621	0.4732
910	0.4658	0.4785
920	0.4717	0.4818
930	0.4759	0.4854
940	0.4762	0.4910
950	0.4745	0.4971
960	0.4750	0.5001
970	0.4799	0.4977
980	0.4872	0.4915
990	0.4927	0.4859
1000	0.4934	0.4845
